Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : roof , window , door .
Before the meeting , Mary wrote down the following lists of words . One was : astronomy , mathematics , geology , microbiology , chemistry , physics , psychology . And the other : mathematics , psychology , geology , chemistry , astronomy , physics , microbiology .
Before the meeting , Mary wrote down the following lists of words . One was : botany , astronomy , mathematics , geology , microbiology , chemistry , physics . And the other : geology , mathematics , botany , astronomy , chemistry , microbiology , physics .
Before the meeting , Mary wrote down the following lists of words . One was : zoology , botany , astronomy , mathematics , geology , microbiology , chemistry . And the other : microbiology , geology , botany , chemistry , astronomy , mathematics , zoology .
Before the meeting , Mary wrote down the following lists of words . One was : biology , zoology , botany , astronomy , mathematics , geology , microbiology . And the other : botany , mathematics , biology , geology , zoology , astronomy , microbiology .
Before the meeting , Mary wrote down the following lists of words . One was : psychology , biology , zoology , botany , astronomy , mathematics , geology . And the other : geology , zoology , astronomy , psychology , botany , biology , mathematics .
Before the meeting , Mary wrote down the following lists of words . One was : physics , psychology , biology , zoology , botany , astronomy , mathematics . And the other : botany , astronomy , physics , zoology , biology , psychology , mathematics .
Before the meeting , Mary wrote down the following lists of words . One was : piano , drum , trumpet , violin , clarinet , flute , guitar . And the other : violin , piano , flute , trumpet , clarinet , guitar , drum .
Before the meeting , Mary wrote down the following lists of words . One was : oboe , piano , drum , trumpet , violin , clarinet , flute . And the other : drum , flute , violin , piano , oboe , trumpet , clarinet .
Before the meeting , Mary wrote down the following lists of words . One was : trombone , oboe , piano , drum , trumpet , violin , clarinet . And the other : drum , trombone , clarinet , piano , violin , oboe , trumpet .
Before the meeting , Mary wrote down the following lists of words . One was : saxophone , trombone , oboe , piano , drum , trumpet , violin . And the other : piano , trombone , violin , trumpet , oboe , drum , saxophone .
Before the meeting , Mary wrote down the following lists of words . One was : guitar , saxophone , trombone , oboe , piano , drum , trumpet . And the other : oboe , guitar , piano , trombone , saxophone , trumpet , drum .
Before the meeting , Mary wrote down the following lists of words . One was : flute , guitar , saxophone , trombone , oboe , piano , drum . And the other : piano , saxophone , flute , oboe , drum , trombone , guitar .
Before the meeting , Mary wrote down the following lists of words . One was : clarinet , flute , guitar , saxophone , trombone , oboe , piano . And the other : guitar , piano , clarinet , trombone , saxophone , oboe , flute .
Before the meeting , Mary wrote down the following lists of words . One was : violin , clarinet , flute , guitar , saxophone , trombone , oboe . And the other : oboe , guitar , clarinet , violin , flute , trombone , saxophone .
Before the meeting , Mary wrote down the following lists of words . One was : trumpet , violin , clarinet , flute , guitar , saxophone , trombone . And the other : guitar , trombone , trumpet , clarinet , saxophone , violin , flute .
Before the meeting , Mary wrote down the following lists of words . One was : drum , trumpet , violin , clarinet , flute , guitar , saxophone . And the other : saxophone , violin , guitar , drum , flute , trumpet , clarinet .
Before the meeting , Mary wrote down the following lists of words . One was : knife , spoon , fork , pan , pot , stove , bowl . And the other : pan , pot , knife , fork , spoon , bowl , stove .
Before the meeting , Mary wrote down the following lists of words . One was : dish , knife , spoon , fork , pan , pot , stove . And the other : dish , fork , spoon , knife , pot , stove , pan .
Before the meeting , Mary wrote down the following lists of words . One was : cup , dish , knife , spoon , fork , pan , pot . And the other : dish , knife , pan , fork , pot , cup , spoon .
Before the meeting , Mary wrote down the following lists of words . One was : mixer , cup , dish , knife , spoon , fork , pan . And the other : knife , mixer , fork , pan , cup , dish , spoon .
Before the meeting , Mary wrote down the following lists of words . One was : bowl , mixer , cup , dish , knife , spoon , fork . And the other : mixer , bowl , fork , knife , cup , spoon , dish .
Before the meeting , Mary wrote down the following lists of words . One was : stove , bowl , mixer , cup , dish , knife , spoon . And the other : spoon , dish , bowl , stove , cup , knife , mixer .
Before the meeting , Mary wrote down the following lists of words . One was : pot , stove , bowl , mixer , cup , dish , knife . And the other : mixer , stove , knife , bowl , cup , pot , dish .
Before the meeting , Mary wrote down the following lists of words . One was : pan , pot , stove , bowl , mixer , cup , dish . And the other : dish , cup , pot , bowl , stove , pan , mixer .
Before the meeting , Mary wrote down the following lists of words . One was : fork , pan , pot , stove , bowl , mixer , cup . And the other : cup , pot , stove , pan , fork , mixer , bowl .
Before the meeting , Mary wrote down the following lists of words . One was : spoon , fork , pan , pot , stove , bowl , mixer . And the other : fork , stove , pot , bowl , pan , mixer , spoon .
Before the meeting , Mary wrote down the following lists of words . One was : trout , shark , herring , perch , salmon , tuna , goldfish . And the other : trout , perch , tuna , shark , salmon , herring , goldfish .
Before the meeting , Mary wrote down the following lists of words . One was : pike , trout , shark , herring , perch , salmon , tuna . And the other : tuna , shark , herring , perch , salmon , pike , trout .
Before the meeting , Mary wrote down the following lists of words . One was : carp , pike , trout , shark , herring , perch , salmon . And the other : pike , shark , trout , carp , salmon , herring , perch .
Before the meeting , Mary wrote down the following lists of words . One was : cod , carp , pike , trout , shark , herring , perch . And the other : trout , cod , pike , herring , perch , shark , carp .
Before the meeting , Mary wrote down the following lists of words . One was : goldfish , cod , carp , pike , trout , shark , herring . And the other : goldfish , trout , shark , pike , herring , carp , cod .
Before the meeting , Mary wrote down the following lists of words . One was : tuna , goldfish , cod , carp , pike , trout , shark . And the other : tuna , shark , cod , carp , trout , pike , goldfish .
Before the meeting , Mary wrote down the following lists of words . One was : salmon , tuna , goldfish , cod , carp , pike , trout . And the other : pike , cod , salmon , carp , trout , goldfish , tuna .
Before the meeting , Mary wrote down the following lists of words . One was : perch , salmon , tuna , goldfish , cod , carp , pike . And the other : tuna , goldfish , salmon , cod , perch , pike , carp .
Before the meeting , Mary wrote down the following lists of words . One was : herring , perch , salmon , tuna , goldfish , cod , carp . And the other : cod , goldfish , salmon , herring , perch , tuna , carp .
Before the meeting , Mary wrote down the following lists of words . One was : shark , herring , perch , salmon , tuna , goldfish , cod . And the other : tuna , salmon , shark , goldfish , perch , herring , cod .
Before the meeting , Mary wrote down the following lists of words . One was : football , baseball , basketball , tennis , swimming , soccer , golf . And the other : swimming , football , basketball , baseball , tennis , golf , soccer .
Before the meeting , Mary wrote down the following lists of words . One was : badminton , football , baseball , basketball , tennis , swimming , soccer . And the other : tennis , football , basketball , badminton , swimming , baseball , soccer .
Before the meeting , Mary wrote down the following lists of words . One was : lacrosse , badminton , football , baseball , basketball , tennis , swimming . And the other : lacrosse , swimming , basketball , baseball , badminton , tennis , football .
Before the meeting , Mary wrote down the following lists of words . One was : hockey , lacrosse , badminton , football , baseball , basketball , tennis . And the other : lacrosse , tennis , football , badminton , hockey , baseball , basketball .
Before the meeting , Mary wrote down the following lists of words . One was : golf , hockey , lacrosse , badminton , football , baseball , basketball . And the other : baseball , football , badminton , golf , hockey , basketball , lacrosse .
Before the meeting , Mary wrote down the following lists of words . One was : soccer , golf , hockey , lacrosse , badminton , football , baseball . And the other : badminton , hockey , soccer , golf , football , baseball , lacrosse .
Before the meeting , Mary wrote down the following lists of words . One was : swimming , soccer , golf , hockey , lacrosse , badminton , football . And the other : football , swimming , badminton , soccer , golf , lacrosse , hockey .
Before the meeting , Mary wrote down the following lists of words . One was : tennis , swimming , soccer , golf , hockey , lacrosse , badminton . And the other : tennis , lacrosse , hockey , badminton , soccer , golf , swimming .
Before the meeting , Mary wrote down the following lists of words . One was : basketball , tennis , swimming , soccer , golf , hockey , lacrosse . And the other : basketball , golf , tennis , soccer , hockey , lacrosse , swimming .
Before the meeting , Mary wrote down the following lists of words . One was : baseball , basketball , tennis , swimming , soccer , golf , hockey . And the other : swimming , hockey , tennis , basketball , golf , soccer , baseball .
Before the meeting , Mary wrote down the following lists of words . One was : doctor , lawyer , teacher , dentist , engineer , professor , carpenter . And the other : engineer , carpenter , doctor , dentist , teacher , lawyer , professor .
Before the meeting , Mary wrote down the following lists of words . One was : psychologist , doctor , lawyer , teacher , dentist , engineer , professor . And the other : dentist , engineer , doctor , psychologist , lawyer , teacher , professor .
Before the meeting , Mary wrote down the following lists of words . One was : nurse , psychologist , doctor , lawyer , teacher , dentist , engineer . And the other : teacher , nurse , engineer , psychologist , dentist , lawyer , doctor .
Before the meeting , Mary wrote down the following lists of words . One was : salesman , nurse , psychologist , doctor , lawyer , teacher , dentist . And the other : nurse , lawyer , salesman , psychologist , dentist , doctor , teacher .
Before the meeting , Mary wrote down the following lists of words . One was : carpenter , salesman , nurse , psychologist , doctor , lawyer , teacher . And the other : psychologist , salesman , carpenter , doctor , lawyer , nurse , teacher .
Before the meeting , Mary wrote down the following lists of words . One was : professor , carpenter , salesman , nurse , psychologist , doctor , lawyer . And the other : psychologist , doctor , nurse , professor , salesman , carpenter , lawyer .
Before the meeting , Mary wrote down the following lists of words . One was : engineer , professor , carpenter , salesman , nurse , psychologist , doctor . And the other : nurse , salesman , carpenter , engineer , doctor , professor , psychologist .
Before the meeting , Mary wrote down the following lists of words . One was : dentist , engineer , professor , carpenter , salesman , nurse , psychologist . And the other : engineer , dentist , nurse , salesman , professor , psychologist , carpenter .
Before the meeting , Mary wrote down the following lists of words . One was : teacher , dentist , engineer , professor , carpenter , salesman , nurse . And the other : teacher , professor , dentist , engineer , salesman , nurse , carpenter .
Before the meeting , Mary wrote down the following lists of words . One was : lawyer , teacher , dentist , engineer , professor , carpenter , salesman . And the other : dentist , teacher , engineer , carpenter , professor , lawyer , salesman .
Before the meeting , Mary wrote down the following lists of words . One was : oak , maple , pine , elm , birch , spruce , redwood . And the other : pine , oak , maple , redwood , spruce , birch , elm .
Before the meeting , Mary wrote down the following lists of words . One was : hickory , oak , maple , pine , elm , birch , spruce . And the other : elm , spruce , oak , maple , hickory , birch , pine .
Before the meeting , Mary wrote down the following lists of words . One was : fir , hickory , oak , maple , pine , elm , birch . And the other : maple , oak , fir , elm , birch , pine , hickory .
Before the meeting , Mary wrote down the following lists of words . One was : walnut , fir , hickory , oak , maple , pine , elm . And the other : fir , oak , pine , maple , walnut , hickory , elm .
Before the meeting , Mary wrote down the following lists of words . One was : redwood , walnut , fir , hickory , oak , maple , pine . And the other : pine , redwood , walnut , oak , hickory , maple , fir .
Before the meeting , Mary wrote down the following lists of words . One was : spruce , redwood , walnut , fir , hickory , oak , maple . And the other : fir , spruce , maple , walnut , redwood , hickory , oak .
Before the meeting , Mary wrote down the following lists of words . One was : birch , spruce , redwood , walnut , fir , hickory , oak . And the other : walnut , hickory , fir , oak , spruce , birch , redwood .
Before the meeting , Mary wrote down the following lists of words . One was : elm , birch , spruce , redwood , walnut , fir , hickory . And the other : hickory , redwood , elm , walnut , birch , spruce , fir .
Before the meeting , Mary wrote down the following lists of words . One was : pine , elm , birch , spruce , redwood , walnut , fir . And the other : birch , fir , elm , walnut , redwood , spruce , pine .
Before the meeting , Mary wrote down the following lists of words . One was : maple , pine , elm , birch , spruce , redwood , walnut . And the other : birch , elm , redwood , walnut , maple , pine , spruce .
Before the meeting , Mary wrote down the following lists of words . One was : shirt , socks , pants , shoes , blouse , skirt , coat . And the other : pants , coat , socks , shoes , shirt , blouse , skirt .
Before the meeting , Mary wrote down the following lists of words . One was : sweater , shirt , socks , pants , shoes , blouse , skirt . And the other : skirt , shirt , blouse , sweater , socks , shoes , pants .
Before the meeting , Mary wrote down the following lists of words . One was : hat , sweater , shirt , socks , pants , shoes , blouse . And the other : socks , blouse , sweater , hat , pants , shirt , shoes .
Before the meeting , Mary wrote down the following lists of words . One was : dress , hat , sweater , shirt , socks , pants , shoes . And the other : sweater , dress , shirt , socks , pants , hat , shoes .
Before the meeting , Mary wrote down the following lists of words . One was : coat , dress , hat , sweater , shirt , socks , pants . And the other : shirt , dress , pants , socks , hat , coat , sweater .
Before the meeting , Mary wrote down the following lists of words . One was : skirt , coat , dress , hat , sweater , shirt , socks . And the other : sweater , shirt , skirt , socks , hat , dress , coat .
Before the meeting , Mary wrote down the following lists of words . One was : blouse , skirt , coat , dress , hat , sweater , shirt . And the other : skirt , hat , blouse , shirt , coat , dress , sweater .
Before the meeting , Mary wrote down the following lists of words . One was : shoes , blouse , skirt , coat , dress , hat , sweater . And the other : hat , shoes , sweater , skirt , dress , coat , blouse .
Before the meeting , Mary wrote down the following lists of words . One was : pants , shoes , blouse , skirt , coat , dress , hat . And the other : shoes , coat , dress , pants , skirt , hat , blouse .
Before the meeting , Mary wrote down the following lists of words . One was : socks , pants , shoes , blouse , skirt , coat , dress . And the other : socks , pants , blouse , skirt , dress , shoes , coat .
Before the meeting , Mary wrote down the following lists of words . One was : cancer , measles , tuberculosis , polio , malaria , leukemia , pneumonia . And the other : tuberculosis , leukemia , measles , polio , malaria , cancer , pneumonia .
Before the meeting , Mary wrote down the following lists of words . One was : encephalitis , cancer , measles , tuberculosis , polio , malaria , leukemia . And the other : measles , tuberculosis , polio , cancer , malaria , encephalitis , leukemia .
Before the meeting , Mary wrote down the following lists of words . One was : influenza , encephalitis , cancer , measles , tuberculosis , polio , malaria . And the other : influenza , tuberculosis , measles , malaria , cancer , polio , encephalitis .
Before the meeting , Mary wrote down the following lists of words . One was : smallpox , influenza , encephalitis , cancer , measles , tuberculosis , polio . And the other : cancer , encephalitis , polio , tuberculosis , measles , smallpox , influenza .
Before the meeting , Mary wrote down the following lists of words . One was : pneumonia , smallpox , influenza , encephalitis , cancer , measles , tuberculosis . And the other : cancer , smallpox , influenza , encephalitis , pneumonia , tuberculosis , measles .
Before the meeting , Mary wrote down the following lists of words . One was : leukemia , pneumonia , smallpox , influenza , encephalitis , cancer , measles . And the other : measles , smallpox , encephalitis , leukemia , cancer , pneumonia , influenza .
Before the meeting , Mary wrote down the following lists of words . One was : malaria , leukemia , pneumonia , smallpox , influenza , encephalitis , cancer . And the other : cancer , smallpox , leukemia , encephalitis , pneumonia , malaria , influenza .
Before the meeting , Mary wrote down the following lists of words . One was : polio , malaria , leukemia , pneumonia , smallpox , influenza , encephalitis . And the other : encephalitis , pneumonia , polio , influenza , smallpox , leukemia , malaria .
Before the meeting , Mary wrote down the following lists of words . One was : tuberculosis , polio , malaria , leukemia , pneumonia , smallpox , influenza . And the other : smallpox , malaria , pneumonia , influenza , tuberculosis , leukemia , polio .
Before the meeting , Mary wrote down the following lists of words . One was : measles , tuberculosis , polio , malaria , leukemia , pneumonia , smallpox . And the other : smallpox , tuberculosis , malaria , pneumonia , measles , leukemia , polio .
Before the meeting , Mary wrote down the following lists of words . One was : mountain , hill , valley , river , rock , lake , canyon . And the other : lake , valley , canyon , river , rock , mountain , hill .
Before the meeting , Mary wrote down the following lists of words . One was : cave , mountain , hill , valley , river , rock , lake . And the other : mountain , hill , rock , river , lake , valley , cave .
Before the meeting , Mary wrote down the following lists of words . One was : ocean , cave , mountain , hill , valley , river , rock . And the other : cave , ocean , rock , river , mountain , valley , hill .
Before the meeting , Mary wrote down the following lists of words . One was : tundra , ocean , cave , mountain , hill , valley , river . And the other : tundra , river , valley , cave , mountain , ocean , hill .
Before the meeting , Mary wrote down the following lists of words . One was : canyon , tundra , ocean , cave , mountain , hill , valley . And the other : ocean , cave , hill , canyon , mountain , valley , tundra .
Before the meeting , Mary wrote down the following lists of words . One was : lake , canyon , tundra , ocean , cave , mountain , hill . And the other : mountain , tundra , lake , ocean , canyon , cave , hill .
Before the meeting , Mary wrote down the following lists of words . One was : rock , lake , canyon , tundra , ocean , cave , mountain . And the other : lake , rock , ocean , canyon , mountain , tundra , cave .
Before the meeting , Mary wrote down the following lists of words . One was : river , rock , lake , canyon , tundra , ocean , cave . And the other : cave , lake , ocean , tundra , river , rock , canyon .
Before the meeting , Mary wrote down the following lists of words . One was : valley , river , rock , lake , canyon , tundra , ocean . And the other : lake , canyon , valley , tundra , river , rock , ocean .
Before the meeting , Mary wrote down the following lists of words . One was : hill , valley , river , rock , lake , canyon , tundra . And the other : valley , tundra , hill , river , lake , rock , canyon .
Before the meeting , Mary wrote down the following lists of words . One was : murder , rape , robbery , theft , assault , arson , kidnapping . And the other : theft , murder , kidnapping , rape , arson , assault , robbery .
Before the meeting , Mary wrote down the following lists of words . One was : battery , murder , rape , robbery , theft , assault , arson . And the other : arson , assault , rape , theft , murder , battery , robbery .
Before the meeting , Mary wrote down the following lists of words . One was : adultery , battery , murder , rape , robbery , theft , assault . And the other : battery , robbery , adultery , assault , theft , rape , murder .
Before the meeting , Mary wrote down the following lists of words . One was : larceny , adultery , battery , murder , rape , robbery , theft . And the other : adultery , larceny , battery , murder , rape , theft , robbery .
Before the meeting , Mary wrote down the following lists of words . One was : kidnapping , larceny , adultery , battery , murder , rape , robbery . And the other : kidnapping , robbery , rape , murder , adultery , battery , larceny .
Before the meeting , Mary wrote down the following lists of words . One was : arson , kidnapping , larceny , adultery , battery , murder , rape . And the other : arson , kidnapping , larceny , rape , adultery , battery , murder .
Before the meeting , Mary wrote down the following lists of words . One was : assault , arson , kidnapping , larceny , adultery , battery , murder . And the other : arson , battery , kidnapping , murder , larceny , assault , adultery .
Before the meeting , Mary wrote down the following lists of words . One was : theft , assault , arson , kidnapping , larceny , adultery , battery . And the other : kidnapping , theft , arson , adultery , battery , assault , larceny .
Before the meeting , Mary wrote down the following lists of words . One was : robbery , theft , assault , arson , kidnapping , larceny , adultery . And the other : adultery , theft , robbery , kidnapping , assault , larceny , arson .
Before the meeting , Mary wrote down the following lists of words . One was : rape , robbery , theft , assault , arson , kidnapping , larceny . And the other : kidnapping , theft , assault , robbery , rape , larceny , arson .
Before the meeting , Mary wrote down the following lists of words . One was : log , cat , horse , cow , lion , tiger , elephant . And the other : horse , tiger , lion , elephant , cow , cat , log .
Before the meeting , Mary wrote down the following lists of words . One was : mouse , log , cat , horse , cow , lion , tiger . And the other : cat , lion , tiger , horse , log , cow , mouse .
Before the meeting , Mary wrote down the following lists of words . One was : bear , mouse , log , cat , horse , cow , lion . And the other : cow , cat , horse , log , lion , mouse , bear .
Before the meeting , Mary wrote down the following lists of words . One was : pig , bear , mouse , log , cat , horse , cow . And the other : horse , cat , log , pig , cow , bear , mouse .
Before the meeting , Mary wrote down the following lists of words . One was : elephant , pig , bear , mouse , log , cat , horse . And the other : mouse , horse , log , bear , pig , cat , elephant .
Before the meeting , Mary wrote down the following lists of words . One was : tiger , elephant , pig , bear , mouse , log , cat . And the other : elephant , mouse , pig , tiger , log , bear , cat .
Before the meeting , Mary wrote down the following lists of words . One was : lion , tiger , elephant , pig , bear , mouse , log . And the other : lion , tiger , log , bear , mouse , pig , elephant .
Before the meeting , Mary wrote down the following lists of words . One was : cow , lion , tiger , elephant , pig , bear , mouse . And the other : lion , bear , tiger , cow , mouse , pig , elephant .
Before the meeting , Mary wrote down the following lists of words . One was : horse , cow , lion , tiger , elephant , pig , bear . And the other : pig , bear , lion , tiger , cow , horse , elephant .
Before the meeting , Mary wrote down the following lists of words . One was : cat , horse , cow , lion , tiger , elephant , pig . And the other : elephant , cow , pig , cat , horse , lion , tiger .
Before the meeting , Mary wrote down the following lists of words . One was : fly , ant , bee , mosquito , spider , beetle , wasp . And the other : fly , spider , wasp , mosquito , bee , ant , beetle .
Before the meeting , Mary wrote down the following lists of words . One was : butterfly , fly , ant , bee , mosquito , spider , beetle . And the other : butterfly , fly , bee , ant , beetle , mosquito , spider .
Before the meeting , Mary wrote down the following lists of words . One was : flea , butterfly , fly , ant , bee , mosquito , spider . And the other : ant , butterfly , fly , mosquito , spider , bee , flea .
Before the meeting , Mary wrote down the following lists of words . One was : moth , flea , butterfly , fly , ant , bee , mosquito . And the other : bee , ant , mosquito , moth , flea , fly , butterfly .
Before the meeting , Mary wrote down the following lists of words . One was : wasp , moth , flea , butterfly , fly , ant , bee . And the other : fly , wasp , moth , butterfly , bee , flea , ant .
Before the meeting , Mary wrote down the following lists of words . One was : beetle , wasp , moth , flea , butterfly , fly , ant . And the other : fly , butterfly , ant , flea , wasp , beetle , moth .
Before the meeting , Mary wrote down the following lists of words . One was : spider , beetle , wasp , moth , flea , butterfly , fly . And the other : beetle , wasp , fly , butterfly , moth , spider , flea .
Before the meeting , Mary wrote down the following lists of words . One was : mosquito , spider , beetle , wasp , moth , flea , butterfly . And the other : moth , mosquito , butterfly , beetle , spider , flea , wasp .
Before the meeting , Mary wrote down the following lists of words . One was : bee , mosquito , spider , beetle , wasp , moth , flea . And the other : spider , mosquito , moth , bee , beetle , wasp , flea .
Before the meeting , Mary wrote down the following lists of words . One was : ant , bee , mosquito , spider , beetle , wasp , moth . And the other : bee , mosquito , spider , beetle , ant , wasp , moth .
Before the meeting , Mary wrote down the following lists of words . One was : blue , red , green , yellow , black , purple , white . And the other : red , green , white , yellow , black , purple , blue .
Before the meeting , Mary wrote down the following lists of words . One was : blonde , blue , red , green , yellow , black , purple . And the other : black , blonde , yellow , red , green , blue , purple .
Before the meeting , Mary wrote down the following lists of words . One was : brown , blonde , blue , red , green , yellow , black . And the other : blonde , red , blue , yellow , brown , green , black .
Before the meeting , Mary wrote down the following lists of words . One was : pink , brown , blonde , blue , red , green , yellow . And the other : pink , blonde , blue , yellow , red , green , brown .
Before the meeting , Mary wrote down the following lists of words . One was : white , pink , brown , blonde , blue , red , green . And the other : white , red , green , blue , pink , brown , blonde .
Before the meeting , Mary wrote down the following lists of words . One was : purple , white , pink , brown , blonde , blue , red . And the other : white , purple , red , blue , pink , brown , blonde .
Before the meeting , Mary wrote down the following lists of words . One was : black , purple , white , pink , brown , blonde , blue . And the other : white , blonde , blue , brown , pink , black , purple .
Before the meeting , Mary wrote down the following lists of words . One was : yellow , black , purple , white , pink , brown , blonde . And the other : blonde , black , pink , purple , brown , white , yellow .
Before the meeting , Mary wrote down the following lists of words . One was : green , yellow , black , purple , white , pink , brown . And the other : white , purple , yellow , pink , brown , green , black .
Before the meeting , Mary wrote down the following lists of words . One was : red , green , yellow , black , purple , white , pink . And the other : black , white , red , yellow , green , purple , pink .
Before the meeting , Mary wrote down the following lists of words . One was : cotton , wool , silk , rayon , linen , satin , velvet . And the other : cotton , velvet , wool , satin , rayon , silk , linen .
Before the meeting , Mary wrote down the following lists of words . One was : felt , cotton , wool , silk , rayon , linen , satin . And the other : felt , linen , rayon , silk , satin , wool , cotton .
Before the meeting , Mary wrote down the following lists of words . One was : canvas , felt , cotton , wool , silk , rayon , linen . And the other : canvas , rayon , linen , silk , felt , cotton , wool .
Before the meeting , Mary wrote down the following lists of words . One was : denim , canvas , felt , cotton , wool , silk , rayon . And the other : rayon , denim , canvas , wool , cotton , felt , silk .
Before the meeting , Mary wrote down the following lists of words . One was : velvet , denim , canvas , felt , cotton , wool , silk . And the other : velvet , denim , wool , silk , canvas , felt , cotton .
Before the meeting , Mary wrote down the following lists of words . One was : satin , velvet , denim , canvas , felt , cotton , wool . And the other : denim , velvet , satin , wool , canvas , cotton , felt .
Before the meeting , Mary wrote down the following lists of words . One was : linen , satin , velvet , denim , canvas , felt , cotton . And the other : velvet , cotton , linen , satin , denim , felt , canvas .
Before the meeting , Mary wrote down the following lists of words . One was : rayon , linen , satin , velvet , denim , canvas , felt . And the other : linen , denim , satin , canvas , rayon , felt , velvet .
Before the meeting , Mary wrote down the following lists of words . One was : silk , rayon , linen , satin , velvet , denim , canvas . And the other : rayon , denim , silk , linen , velvet , satin , canvas .
Before the meeting , Mary wrote down the following lists of words . One was : wool , silk , rayon , linen , satin , velvet , denim . And the other : linen , velvet , rayon , denim , wool , satin , silk .
Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof , wall , floor , ceiling , room , basement , hearth , hall . And the other : floor , hall , ceiling , hearth , wall , room , door , roof , basement , window .
Before the meeting , Mary wrote down the following lists of words . One was : hall , window , door , roof , wall , floor , ceiling , room , basement , hearth . And the other : wall , roof , door , ceiling , room , floor , hearth , hall , window , basement .
Before the meeting , Mary wrote down the following lists of words . One was : hearth , hall , window , door , roof , wall , floor , ceiling , room , basement . And the other : floor , basement , hall , window , ceiling , wall , room , hearth , roof , door .
Before the meeting , Mary wrote down the following lists of words . One was : basement , hearth , hall , window , door , roof , wall , floor , ceiling , room . And the other : roof , hearth , floor , door , ceiling , hall , room , basement , wall , window .
Before the meeting , Mary wrote down the following lists of words . One was : room , basement , hearth , hall , window , door , roof , wall , floor , ceiling . And the other : window , room , hearth , hall , basement , door , roof , ceiling , floor , wall .
Before the meeting , Mary wrote down the following lists of words . One was : ceiling , room , basement , hearth , hall , window , door , roof , wall , floor . And the other : door , roof , wall , ceiling , window , hearth , basement , room , floor , hall .
Before the meeting , Mary wrote down the following lists of words . One was : floor , ceiling , room , basement , hearth , hall , window , door , roof , wall . And the other : door , basement , window , room , roof , floor , hall , hearth , wall , ceiling .
Before the meeting , Mary wrote down the following lists of words . One was : wall , floor , ceiling , room , basement , hearth , hall , window , door , roof . And the other : floor , roof , ceiling , basement , door , window , hall , hearth , room , wall .
Before the meeting , Mary wrote down the following lists of words . One was : roof , wall , floor , ceiling , room , basement , hearth , hall , window , door . And the other : room , window , ceiling , basement , hall , wall , door , floor , hearth , roof .
Before the meeting , Mary wrote down the following lists of words . One was : door , roof , wall , floor , ceiling , room , basement , hearth , hall , window . And the other : hall , basement , door , ceiling , wall , hearth , floor , room , roof , window .
Before the meeting , Mary wrote down the following lists of words . One was : leg , arms , head , eye , foot , nose , finger , ear , hand , toe . And the other : leg , toe , eye , nose , finger , arms , ear , head , foot , hand .
Before the meeting , Mary wrote down the following lists of words . One was : toe , leg , arms , head , eye , foot , nose , finger , ear , hand . And the other : arms , toe , foot , head , leg , hand , nose , finger , eye , ear .
Before the meeting , Mary wrote down the following lists of words . One was : hand , toe , leg , arms , head , eye , foot , nose , finger , ear . And the other : foot , toe , head , eye , nose , ear , leg , arms , finger , hand .
Before the meeting , Mary wrote down the following lists of words . One was : ear , hand , toe , leg , arms , head , eye , foot , nose , finger . And the other : hand , head , leg , toe , finger , arms , eye , foot , nose , ear .
Before the meeting , Mary wrote down the following lists of words . One was : finger , ear , hand , toe , leg , arms , head , eye , foot , nose . And the other : leg , nose , toe , finger , eye , arms , foot , hand , head , ear .
Before the meeting , Mary wrote down the following lists of words . One was : nose , finger , ear , hand , toe , leg , arms , head , eye , foot . And the other : nose , eye , toe , foot , finger , leg , arms , ear , hand , head .
Before the meeting , Mary wrote down the following lists of words . One was : foot , nose , finger , ear , hand , toe , leg , arms , head , eye . And the other : foot , nose , arms , head , toe , ear , leg , hand , finger , eye .
Before the meeting , Mary wrote down the following lists of words . One was : eye , foot , nose , finger , ear , hand , toe , leg , arms , head . And the other : toe , arms , ear , eye , finger , nose , foot , leg , hand , head .
Before the meeting , Mary wrote down the following lists of words . One was : head , eye , foot , nose , finger , ear , hand , toe , leg , arms . And the other : foot , finger , head , hand , eye , nose , toe , leg , ear , arms .
Before the meeting , Mary wrote down the following lists of words . One was : arms , head , eye , foot , nose , finger , ear , hand , toe , leg . And the other : head , toe , hand , ear , leg , arms , eye , nose , foot , finger .
Before the meeting , Mary wrote down the following lists of words . One was : sailboat , destroyer , battleship , cruiser , submarine , yacht , canoe , freighter , tugboat , steamship . And the other : destroyer , sailboat , submarine , freighter , canoe , battleship , yacht , tugboat , cruiser , steamship .
Before the meeting , Mary wrote down the following lists of words . One was : steamship , sailboat , destroyer , battleship , cruiser , submarine , yacht , canoe , freighter , tugboat . And the other : freighter , canoe , destroyer , battleship , submarine , yacht , tugboat , sailboat , steamship , cruiser .
Before the meeting , Mary wrote down the following lists of words . One was : tugboat , steamship , sailboat , destroyer , battleship , cruiser , submarine , yacht , canoe , freighter . And the other : submarine , tugboat , cruiser , freighter , steamship , canoe , yacht , destroyer , sailboat , battleship .
Before the meeting , Mary wrote down the following lists of words . One was : freighter , tugboat , steamship , sailboat , destroyer , battleship , cruiser , submarine , yacht , canoe . And the other : freighter , steamship , sailboat , yacht , battleship , cruiser , submarine , tugboat , canoe , destroyer .
Before the meeting , Mary wrote down the following lists of words . One was : canoe , freighter , tugboat , steamship , sailboat , destroyer , battleship , cruiser , submarine , yacht . And the other : tugboat , submarine , canoe , destroyer , battleship , cruiser , freighter , sailboat , steamship , yacht .
